,0,1,2
0,SUPREMEINF,27.35,Up
1,HINDNATGLS,23.8,Up
2,NORBTEAEXP,4.3,Down
3,UMESLTD,1.25,Down
4,SANOFI,6022.3,Up
5,CKFSL,2.8,Down
6,MIL,6.95,Up
