,0,1,2
0,ASIANPAINT,1395.9,Up
1,BIOCON,262.9,Up
2,MIL,6.95,Up
3,THERMAX,1093.75,Up
4,NORBTEAEXP,4.3,Down
5,COX&KINGS,19.05,Down
6,DABUR,431.15,Up
7,SUPREMEINF,24.85,Up
8,UMESLTD,1.35,Down
