,0,1,2
0,MIL,6.95,Up
1,IGL,320.2,Up
2,DABUR,425.0,Up
3,UNICHEMLAB,184.95,Up
4,TATAMOTORS,170.0,Up
5,TCNSBRANDS,812.05,Up
