Code
ACC
ADANIENT
ADANIPORTS
ADANIPOWER
AMARAJABAT
AMBUJACEM
APOLLOHOSP
APOLLOTYRE
ARVIND
ASHOKLEY
ASIANPAINT
AUROPHARMA
AXISBANK
BAJAJ-AUTO
BAJAJFINSV
BAJFINANCE
BALKRISIND
BANKBARODA
BANKINDIA
BATAINDIA
BEL
BERGEPAINT
BHARATFORG
BHARTIARTL
BHEL
BIOCON
BOSCHLTD
BPCL
BRITANNIA
BSOFT
CADILAHC
CANBK
CASTROLIND
CENTURYTEX
CESC
CHOLAFIN
CIPLA
COALINDIA
COLPAL
CONCOR
CUMMINSIND
DABUR
DHFL
DISHTV
DIVISLAB
DLF
DRREDDY
EICHERMOT
ENGINERSIN
EQUITAS
ESCORTS
EXIDEIND
FEDERALBNK
GAIL
GLENMARK
GMRINFRA
GODREJCP
GRASIM
HAVELLS
HCLTECH
HDFC
HDFCBANK
HEROMOTOCO
HEXAWARE
HINDALCO
HINDPETRO
HINDUNILVR
HINDZINC
IBULHSGFIN
ICICIBANK
ICICIPRULI
IDBI
IDEA
IDFCFIRSTB
IGL
INDIGO
INDUSINDBK
INFRATEL
INFY
IOC
ITC
JINDALSTEL
JSWSTEEL
JUBLFOOD
JUSTDIAL
KAJARIACER
KOTAKBANK
L&TFH
LICHSGFIN
LT
LUPIN
M&M
M&MFIN
MANAPPURAM
MARICO
MARUTI
MCDOWELL-N
MCX
MFSL
MGL
MINDTREE
MOTHERSUMI
MRF
MUTHOOTFIN
NATIONALUM
NBCC
NCC
NESTLEIND
NIITTECH
NMDC
NTPC
OFSS
OIL
ONGC
PAGEIND
PEL
PETRONET
PFC
PIDILITIND
PNB
POWERGRID
PVR
RAMCOCEM
RAYMOND
RBLBANK
RECLTD
RELCAPITAL
RELIANCE
RELINFRA
SAIL
SBIN
SHREECEM
SIEMENS
SRF
SRTRANSFIN
STAR
SUNPHARMA
SUNTV
TATACHEM
TATAELXSI
TATAGLOBAL
TATAMOTORS
TATAMTRDVR
TATAPOWER
TATASTEEL
TCS
TECHM
TITAN
TORNTPHARM
TORNTPOWER
TVSMOTOR
UBL
UJJIVAN
ULTRACEMCO
UNIONBANK
UPL
VEDL
VOLTAS
WIPRO
YESBANK
ZEEL
RAYMOND
RBLBANK
RCOM
RECLTD
RELCAPITAL
RELIANCE
RELINFRA
REPCOHOME
RNAVAL
RPOWER
SAIL
SBIN
SHREECEM
SIEMENS
SOUTHBANK
SREINFRA
SRF
SRTRANSFIN
STAR
SUNPHARMA
SUNTV
SUZLON
SYNDIBANK
TATACHEM
TATACOMM
TATAELXSI
TATAGLOBAL
TATAMOTORS
TATAMTRDVR
TATAPOWER
TATASTEEL
TCS
TECHM
TITAN
TORNTPHARM
TORNTPOWER
TV18BRDCST
TVSMOTOR
UBL
UJJIVAN
ULTRACEMCO
UNIONBANK
UPL
VEDL
VGUARD
VOLTAS
WIPRO
WOCKPHARMA
YESBANK
ZEEL
