,0,1,2
0,CUMMINSIND,520.0,Down
1,SBIN,318.2,Down
2,BANKBARODA,96.55,Down
3,TATAPOWER,53.45,Down
4,PFC,109.25,Down
5,RBLBANK,338.0,Down
