,0,1,2
0,NMDC,113.3,Up
1,MINDTREE,747.3,Up
2,BALRAMCHIN,161.2,Up
3,STEELXIND,22.25,Up
4,FLEXITUFF,5.0,Up
5,BIOFILCHEM,9.75,Up
6,REPRO,676.0,Up
7,BLUEDART,2416.25,Up
