,0,1,2
0,KAUSHALYA,0.4,Down
1,AIONJSW,21,Up
2,MCDOWELL-N,576.15,Up
3,LTTS,1774.6,Up
4,ARROWGREEN,60.35,Up
5,EROSMEDIA,19.05,Down
6,PRADIP,0.9,Up
7,LICHSGFIN,564.95,Up
8,ICICIBANK,440.95,Up
9,M&M,657.9,Up
10,NATIONALUM,50.3,Up
11,BAJAJELEC,525.35,Up
12,PRAXIS,124.9,Up
13,RADICO,325.7,Up
