,0,1,2
0,POLYCAB,611.85,Up
1,ABAN,38.0,Up
2,GRASIM,919.15,Up
3,JAYNECOIND,4.4,Up
4,UMESLTD,1.75,Down
5,RECLTD,164.0,Up
6,CONCOR,568.95,Up
7,DMART,1387.45,Up
8,GALAXYSURF,1238.25,Up
9,LUPIN,768.7,Up
10,RKDL,8.45,Up
11,ICRA,3157.1,Up
12,BHEL,75.2,Up
13,POWERGRID,209.65,Up
14,ABB,1601.5,Up
15,NATIONALUM,50.05,Up
16,MCX,825.65,Up
17,INDIANCARD,95.0,Up
18,POWERMECH,998.8,Up
19,EROSMEDIA,20.05,Down
