,0,1,2
0,BAJAJFINSV,8524.65,Up
1,MIL,6.95,Up
2,ALEMBICLTD,43.65,Up
3,IRCON,401.5,Up
4,BDL,339.75,Up
5,NIITTECH,1345.1,Up
6,ADVANIHOTR,62.1,Up
7,NRBBEARING,164.3,Up
8,INDSWFTLTD,4.6,Up
9,ICICIPRULI,388.65,Up
10,EROSMEDIA,18.1,Down
11,PUNJLLOYD,1.55,Up
12,ARROWGREEN,72.4,Up
