,0,1,2
0,PROVOGE,1.3,Up
1,RALLIS,152.55,Up
2,TATAELXSI,920.8,Up
3,ELECTCAST,17.65,Up
4,NBIFIN,1408.1,Up
5,GESHIP,271.0,Up
6,SWELECTES,249.7,Up
7,DEEPAKNTR,309.1,Up
8,MIL,6.95,Up
